card_id,title_vi,title_en,description_vi,description_en,question_vi,question_en,effects_common,effects_war_time,effects_subsidy,effects_reform,effects_digital_native,notes
era_001,Giá cả leo thang,Inflation Surge,"Giá cả hàng hóa tăng mạnh trong thời gian ngắn, khiến tiền chợ, tiền đi lại, và các chi phí thiết yếu đội lên rõ rệt; nhiều người phải đổi thói quen mua sắm, cắt bớt khoản không cần, và ưu tiên “đủ sống” trước.","Prices rise sharply over a short period, pushing up groceries, transport, and essentials; many people change buying habits, cut non-essentials, and prioritize “getting by” first.",Có món đồ nào bạn cảm thấy đã tăng giá bất ngờ trong xã hội?,What items do you think have gained significant value in recent times?,,money:-1,money:-1,money:-2,money:-3,Example era card with generation-specific effects.
era_002,Làn sóng công nghệ,Technology Wave,"Một công nghệ mới lan rộng rất nhanh, làm thay đổi cách học, cách làm việc và cách kết nối; ai thích nghi sớm sẽ có lợi thế, còn ai chậm nhịp dễ thấy bị tụt lại hoặc quá tải.","A new technology spreads rapidly, reshaping how people learn, work, and connect; those who adapt early gain an advantage, while others may feel left behind or overwhelmed.","Trong quan điểm của bạn, phát minh hoặc công nghệ hiện đại nào rất khó làm quen và sử dụng?","In your personal opinion, what is a very challenging technology to learn and use?",,experience:-2,experience:-1,experience:+1,experience:+2,Digital-native generation gets a stronger benefit in this example.
era_003,Làn sóng đổi thay,Tides of Change,Một thay đổi xã hội lớn diễn ra trong đời bạn khiến thói quen sống hằng ngày của mọi người đổi khác rõ rệt.,A major social shift happens within your lifetime and noticeably changes everyday habits.,"Kể một thay đổi xã hội lớn nhất bạn cảm nhận được, và nó ảnh hưởng thói quen sống của bạn ra sao?","Name one major social change you have noticed, and how it changed your daily life.",,happiness:-1,happiness:-1,happiness:-2,happiness:-2,
era_004,Thế giới của người độc thân,The World of Single People,"Bạn nhận ra cách xã hội nhìn người độc thân qua lời hỏi han, kỳ vọng, hoặc những tình huống thường gặp.","You notice how society views single people through common questions, expectations, and everyday situations.",Xã hội nhìn người độc thân như thế nào theo trải nghiệm của bạn?,How does society treat single people in your experience?,,happiness:-3,happiness:-2,happiness:-1,happiness:-1,
era_005,Tính đường tuổi già,Planning for Old Age,Bạn bắt đầu nghĩ nghiêm túc về tuổi già và phải chọn một kế hoạch cụ thể để tự lo cho tương lai.,You start thinking seriously about old age and need to choose a concrete plan for your future.,"Bạn chuẩn bị cho tuổi già bằng cách nào, nêu một kế hoạch cụ thể?","How do you prepare for old age, name one concrete plan.",,happiness:-1,happiness:-1,happiness:-2,happiness:-3,
era_006,Tốn một gia tài,A Small Fortune,Một khoản chi cho việc nuôi con khiến bạn giật mình và buộc phải cân lại ngân sách gia đình.,A childcare-related expense surprises you and forces you to rebalance the household budget.,"Theo bạn, khoản tốn kém nhất khi nuôi con là gì, nêu một ví dụ?","What do you think is the biggest childcare cost, give one example.",,money:-2,money:-2,money:-3,money:-3,
era_007,Kế hoạch hưu trí,Retirement Planning,Bạn cân nhắc các nguồn tài chính cho tuổi nghỉ hưu và phải quyết định mình tin và dựa vào nguồn nào nhất.,You weigh different sources of retirement security and decide which one you trust and rely on most.,"Bạn chuẩn bị tài chính cho nghỉ hưu bằng cách nào, và bạn tin vào nguồn nào nhất?","How do you prepare financially for retirement, and which source do you trust most?",,money:-4,money:-3,money:-2,money:-2,
era_008,Thị trường nhà đất,Real Estate Market,"Thị trường nhà đất ở giai đoạn bạn bắt đầu nghĩ đến chuyện nhà ở có cảm giác rất khác, ảnh hưởng mạnh đến quyết định của bạn.",The housing market when you first started thinking about housing feels distinct and strongly influences your choices.,Bạn cảm nhận thị trường nhà đất thời bạn bắt đầu nghĩ tới chuyện nhà ở như thế nào?,How did the housing market feel when you first started thinking about housing?,,money:-1,money:-1,money:-2,money:-2,
era_009,Lạm phát tăng vọt,Inflation Spike,"Giá cả leo thang trong vài tháng, tiền đi chợ và chi phí sinh hoạt tăng rõ rệt.",Prices surge over a few months and everyday living costs rise noticeably.,Bạn sẽ điều chỉnh chi tiêu theo 3 ưu tiên nào trước tiên?,What three spending priorities would you adjust first?,,money:-2,money:-2,money:-3,money:-3,
era_010,Đợt đóng băng tuyển dụng,Hiring Freeze,"Nhiều công ty ngừng tuyển, tin đăng việc giảm mạnh, cạnh tranh tăng.","Many companies pause hiring, job postings drop, and competition increases.",Bạn sẽ làm gì trong 30 ngày tới để tăng cơ hội của mình?,What would you do in the next 30 days to improve your chances?,,money:-1,money:-2,money:-2,money:-3,
