No.,Description,Title,VN Title,Action,Next Space,Common question,War-time Description,War-time Effects,Subsidy Description,Subsidy Effects,Reform Description,Reform Effects,Digital-native Description,Digital-native Effects
0,START,,Bắt đầu,Player starts here,1,,"Lớn lên trước năm 1975, trong bối cảnh chiến tranh và biến động; thường ưu tiên an toàn, gia đình và trách nhiệm.",,"Trưởng thành trong thời kỳ tem phiếu và phân phối; quen tiết kiệm, xoay xở và coi ổn định là quan trọng.",,"Lớn lên khi xã hội “mở cửa” và cơ hội tăng; coi trọng vươn lên, thử cái mới và nắm thời thế.",,"Lớn lên cùng internet và điện thoại thông minh; quen kết nối nhanh, linh hoạt và học qua công nghệ.",
1,Era Intro,This is the world we live in!,Thế giới quanh ta,Draw an ERA card,2,,Thời nhiều bất ổn; người ta coi “an toàn” và “nương tựa nhau” là ưu tiên.,,"Hàng hoá theo định mức; xếp hàng, tem phiếu; tiết kiệm và xoay xở là kỹ năng sống.",,"Mọi thứ bắt đầu “mở ra”: hàng hoá mới, nghề mới, cơ hội mới; ai nhanh thì có lợi thế.",,Kết nối luôn bật; thông tin đến rất nhanh; “online” ảnh hưởng mạnh đến đời sống thường ngày.,
2,Childhood memory,Childhood memory,Ký ức tuổi thơ,Stat change,3,Có một điều “rất bình thường” trong thời bạn lớn lên mà bây giờ đã khác hẳn không?,Tuổi thơ thường gắn với gia đình và cộng đồng; niềm vui nhỏ nhưng quý.,,"Đồ chơi ít; trẻ con hay tự chế, chơi chung, chia sẻ lượt.",,"Xuất hiện nhiều “cái mới”: TV, băng nhạc, cửa hàng, đồ dùng; tò mò và háo hức.",,"Tuổi thơ chia giữa thế giới ""thực"" và ""ảo""; bạn bè có thể ở cả ngoài đời lẫn online.",
3,Life Intro,First life event!,Cột mốc đầu đời,Draw a LIFE card,4,,Nhiều người phải “lớn nhanh”; cột mốc thường gắn với trách nhiệm.,,"Cột mốc hay gắn với việc phụ gia đình: đi mua đồ, giữ chỗ, làm việc nhà, trông em.",,"Cột mốc thường gắn với “tự quyết”: chọn hướng học/việc, thử cơ hội mới, đi xa.",,"Cột mốc có thể xảy ra online: tài khoản đầu tiên, bài đăng đầu tiên, lần đầu “bị chú ý”.",
4,Aspirations,What are your dreams?,Ước mơ thuở nhỏ,Stat change,5,Hồi nhỏ bạn có ước mơ gì? Bây giờ bạn nghĩ ước mơ đó đã đổi như thế nào?,"Ước mơ thường hướng về bình yên, gia đình yên ổn, sống tử tế.",,Ước mơ hay gắn với ổn định và “lo được cho nhà”.,,"Ước mơ hay gắn với vươn lên: học thêm, đổi đời, thử cái mới.",,"Ước mơ đa hướng: tự do lựa chọn, bản sắc cá nhân, và cơ hội mới từ công nghệ.",
5,Pick Education Route,"Education route: University, Trade School or Work?",Ngã rẽ học vấn,"Pick 1: University, Trade School or Work","Depends on choice (6 - University, 12 - Trade School or 16 - Work)","Chọn một trong ba lựa chọn: Đại học, Học nghề hoặc Đi làm sớm","Thường nghiêng về học nghề hoặc học việc vì kỹ năng thực tế giúp tự lo và ứng phó với hoàn cảnh bất ổn. Đại học được coi là rất quý và đáng giá, nhưng không phải lúc nào cũng với tới nên thường chỉ là lựa chọn khi có điều kiện. Đi làm sớm thường xuất phát từ trách nhiệm và nhu cầu trước mắt hơn là lựa chọn lý tưởng.",,"Thường ưu tiên con đường đại học gắn với sự ổn định và lộ trình rõ ràng, vì “ổn định” được xem là mục tiêu quan trọng. Học nghề cũng được chấp nhận vì cho thấy hiệu quả thực dụng và dễ có việc, nhưng thường đứng sau đại học trong thứ tự ưu tiên. Đi làm sớm ít được khuyến khích, thường chỉ xảy ra khi gia đình cần thêm người phụ giúp hoặc điều kiện học tập hạn chế.",,"Thường có hai xu hướng song song: một bên vẫn xem đại học là con đường để vươn lên, bên kia sẵn sàng đi làm sớm hoặc thử cơ hội mới để nắm thời thế. Học nghề ngày càng trở nên hấp dẫn vì có thể vào nghề nhanh và phù hợp với nhu cầu thực tế. Nhìn chung, lựa chọn thường đi kèm sự cân nhắc giữa “học tiếp cho chắc” và “làm sớm để bắt cơ hội”.",,"Thường ưu tiên những con đường linh hoạt và gắn chặt với kỹ năng có thể áp dụng ngay, sẵn sàng vừa học vừa làm và xây dựng năng lực qua dự án hoặc sản phẩm cụ thể. Đại học vẫn là một lựa chọn, nhưng không còn được xem là con đường mặc định; quyết định học hay không thường phụ thuộc vào việc ngành học có giúp đạt được mục tiêu rõ ràng hay không. Đi làm sớm cũng được chấp nhận hơn, và việc đổi hướng hoặc đi đường vòng được xem là bình thường.",
6,University Space 1,Studying Hard,Học Chăm Chỉ,Stat change,7,"Bạn học hiệu quả nhất bằng cách nào (tự học, học nhóm, học thuộc, làm bài tập…)? Nói 1 mẹo của bạn.",Việc học gắn với kỷ luật và nền nếp; “học để nên người” thường được nhắc nhiều.,,"Tài liệu hạn chế; học dựa vào sách vở, ghi chép và chia sẻ trong lớp.",,Thi cử và bằng cấp trở thành cơ hội để vươn lên; cạnh tranh bắt đầu rõ hơn.,,"Học gắn với internet: tra cứu nhanh, học online, nhiều tài nguyên nhưng dễ xao nhãng.",
7,University Space 2,Scholarship,Học bổng,Draw a LIFE card,8,,Cơ hội học hành hiếm và mong manh; nhiều người phải tạm dừng hoặc đổi hướng vì hoàn cảnh.,,"Học hành thường gắn với phân bổ/đơn vị; gánh nặng tiền mặt có thể khác, nhưng “được học/được đi” là then chốt.",,Chi phí và cạnh tranh tăng; học bổng và làm thêm dần thành con đường quen thuộc để theo học.,,"Học phí cao và nhiều lựa chọn; phổ biến chuyện vừa học vừa làm, săn học bổng, portfolio/dự án để đổi cơ hội.",
8,University Space 3,Stressing Out,Căng thẳng quá tải,Stat change,9,Điều gì làm bạn căng thẳng nhất thời đi học? Tại sao bạn bị áp lực về điều này?,Nhiều người quen “chịu đựng và tự lo”; ít khi nói thẳng về cảm xúc.,,Áp lực thường gắn với thiếu thốn và trách nhiệm; giải toả hay dựa vào gia đình/tập thể.,,Áp lực tăng vì cạnh tranh và kỳ vọng “phải vươn lên”; dễ tự so sánh.,,Stress dễ đến từ nhịp sống nhanh và quá tải thông tin; ranh giới online/offline mờ.,
9,University Space 4,"Work Hard, Play Hard","Làm hết sức, chơi hết mình",Stat change,10,Kể về một kỷ niệm đi chơi thời sinh viên/học sinh của bạn.,"Ưu tiên là ổn định và an toàn; “vui” thường giản dị, ít phô trương.",,"Niềm vui thường đến từ tụ tập, ăn uống đơn giản, sinh hoạt tập thể.",,Bắt đầu có văn hoá “hustle” và tiêu dùng; vui chơi đa dạng hơn.,,Giải trí gắn với nội dung số; ranh giới nghỉ ngơi và lướt mạng dễ bị lẫn.,
