space_id,space_type,stage,next_default,title_vi,title_en,question_vi,question_en,desc_war_time_vi,desc_war_time_en,desc_subsidy_vi,desc_subsidy_en,desc_reform_vi,desc_reform_en,desc_digital_native_vi,desc_digital_native_en,effects_common,effects_war_time,effects_subsidy,effects_reform,effects_digital_native,option_1_label_vi,option_1_label_en,option_1_next,option_1_effects,option_2_label_vi,option_2_label_en,option_2_next,option_2_effects,option_3_label_vi,option_3_label_en,option_3_next,option_3_effects,notes
0,start,,1,Bắt đầu,Start,,,"Lớn lên trước năm 1975, trong bối cảnh chiến tranh và biến động; thường ưu tiên an toàn, gia đình và trách nhiệm.","Grew up before 1975 amid war and upheaval, often prioritizing safety, family, and responsibility.","Trưởng thành trong thời kỳ tem phiếu và phân phối; quen tiết kiệm, xoay xở và coi ổn định là quan trọng.","Grew up during rationing and state distribution, used to saving, making do, and valuing stability.","Lớn lên khi xã hội “mở cửa” và cơ hội tăng; coi trọng vươn lên, thử cái mới và nắm thời thế.","Grew up as society “opened up” and opportunities expanded, valuing upward mobility, trying new things, and seizing the moment.","Lớn lên cùng internet và điện thoại thông minh; quen kết nối nhanh, linh hoạt và học qua công nghệ.","Grew up with the internet and smartphones, used to fast connection, flexibility, and learning through technology.",,,,,,,,,,,,,,,,,,Original Description: START | Original Action: Player starts here
1,era_card,,2,Thế giới quanh ta,This is the world we live in!,,,Thời nhiều bất ổn; người ta coi “an toàn” và “nương tựa nhau” là ưu tiên.,"In an era of instability, people tend to prioritize safety and relying on one another.","Hàng hoá theo định mức; xếp hàng, tem phiếu; tiết kiệm và xoay xở là kỹ năng sống.","Goods are allocated by quota, with long queues and ration coupons, saving and improvising become essential life skills.","Mọi thứ bắt đầu “mở ra”: hàng hoá mới, nghề mới, cơ hội mới; ai nhanh thì có lợi thế.","Things begin to open up, new goods, new jobs, new opportunities, and those who move fast gain an advantage.",Kết nối luôn bật; thông tin đến rất nhanh; “online” ảnh hưởng mạnh đến đời sống thường ngày.,"Always-on connectivity brings information very quickly, and being online strongly shapes everyday life.",draw:era,,,,,,,,,,,,,,,,,Original Description: Era Intro | Original Action: Draw an ERA card
2,stat,,3,Ký ức tuổi thơ,Childhood memory,Có một điều “rất bình thường” trong thời bạn lớn lên mà bây giờ đã khác hẳn không?,"What was considered ""normal"" during your childhood that is completely different now?",Tuổi thơ thường gắn với gia đình và cộng đồng; niềm vui nhỏ nhưng quý.,"Childhood is often closely tied to family and community, with small joys that feel precious.","Đồ chơi ít; trẻ con hay tự chế, chơi chung, chia sẻ lượt.","There are few store-bought toys, so kids often make their own, play together, and take turns sharing.","Xuất hiện nhiều “cái mới”: TV, băng nhạc, cửa hàng, đồ dùng; tò mò và háo hức.","Many “new things” appear, TVs, music tapes, shops, household items, creating curiosity and excitement.","Tuổi thơ chia giữa thế giới ""thực"" và ""ảo""; bạn bè có thể ở cả ngoài đời lẫn online.","Childhood is split between “offline” and “online” worlds, and friends can exist both in real life and online.",,happiness:+1,happiness:+1,happiness:+2,happiness:+3,,,,,,,,,,,,,Original Description: Childhood memory | Original Action: Stat change
3,life_card,,4,Cột mốc đầu đời,First life event!,,,Nhiều người phải “lớn nhanh”; cột mốc thường gắn với trách nhiệm.,"Many people had to grow up fast, with milestones often tied to responsibility.","Cột mốc hay gắn với việc phụ gia đình: đi mua đồ, giữ chỗ, làm việc nhà, trông em.","Milestones are often tied to helping the family, buying necessities, holding a place in line, doing chores, and caring for younger siblings.","Cột mốc thường gắn với “tự quyết”: chọn hướng học/việc, thử cơ hội mới, đi xa.","Milestones are often tied to personal agency, choosing a study or work path, trying new opportunities, or moving far from home.","Cột mốc có thể xảy ra online: tài khoản đầu tiên, bài đăng đầu tiên, lần đầu “bị chú ý”.","Milestones can happen online, the first account, first post, or the first time you get “noticed.”",draw:life,,,,,,,,,,,,,,,,,Original Description: Life Intro | Original Action: Draw a LIFE card
4,stat,,5,Ước mơ thuở nhỏ,What are your dreams?,Hồi nhỏ bạn có ước mơ gì? Bây giờ bạn nghĩ ước mơ đó đã đổi như thế nào?,What dreams did you have as a child? How have your dreams changed since?,"Ước mơ thường hướng về bình yên, gia đình yên ổn, sống tử tế.","Dreams often focus on peace, a stable family life, and living with integrity.",Ước mơ hay gắn với ổn định và “lo được cho nhà”.,Dreams often center on stability and being able to provide for the family.,"Ước mơ hay gắn với vươn lên: học thêm, đổi đời, thử cái mới.","Dreams often center on moving up, studying more, changing one’s life, and trying new things.","Ước mơ đa hướng: tự do lựa chọn, bản sắc cá nhân, và cơ hội mới từ công nghệ.","Dreams become multi-directional, focusing on freedom of choice, personal identity, and new opportunities enabled by technology.",,happiness:+1,happiness:+2,happiness:+2,happiness:+3,,,,,,,,,,,,,Original Description: Aspirations | Original Action: Stat change
5,checkpoint,,,Ngã rẽ học vấn,Education route,"Chọn một trong ba lựa chọn: Đại học, Học nghề hoặc Đi làm sớm","Pick one option: Go to University, Go to Trade School or Go to Work","Thường nghiêng về học nghề hoặc học việc vì kỹ năng thực tế giúp tự lo và ứng phó với hoàn cảnh bất ổn. Đại học được coi là rất quý và đáng giá, nhưng không phải lúc nào cũng với tới nên thường chỉ là lựa chọn khi có điều kiện. Đi làm sớm thường xuất phát từ trách nhiệm và nhu cầu trước mắt hơn là lựa chọn lý tưởng.","Often leans toward vocational training or apprenticeships because practical skills help with self-reliance in unstable conditions. University is seen as highly valuable but not always attainable, so it is typically chosen only when circumstances allow. Starting work early often comes from responsibility and immediate needs rather than as an ideal choice.","Thường ưu tiên con đường đại học gắn với sự ổn định và lộ trình rõ ràng, vì “ổn định” được xem là mục tiêu quan trọng. Học nghề cũng được chấp nhận vì cho thấy hiệu quả thực dụng và dễ có việc, nhưng thường đứng sau đại học trong thứ tự ưu tiên. Đi làm sớm ít được khuyến khích, thường chỉ xảy ra khi gia đình cần thêm người phụ giúp hoặc điều kiện học tập hạn chế.","University is typically prioritized because it is associated with stability and a clear pathway, as stability is seen as the key goal. Vocational training is also accepted for being practical and job-oriented, but it usually ranks after university. Starting work early is less encouraged and often happens only when the family needs extra support or when schooling options are limited.","Thường có hai xu hướng song song: một bên vẫn xem đại học là con đường để vươn lên, bên kia sẵn sàng đi làm sớm hoặc thử cơ hội mới để nắm thời thế. Học nghề ngày càng trở nên hấp dẫn vì có thể vào nghề nhanh và phù hợp với nhu cầu thực tế. Nhìn chung, lựa chọn thường đi kèm sự cân nhắc giữa “học tiếp cho chắc” và “làm sớm để bắt cơ hội”.","Two parallel tendencies are common: one side still sees university as the path to move up, while the other is willing to start working early or try new opportunities to catch the moment. Vocational training becomes more attractive because it leads to work faster and fits practical demand. Overall, choices often involve weighing “study longer to be safe” versus “work early to seize opportunity.”","Thường ưu tiên những con đường linh hoạt và gắn chặt với kỹ năng có thể áp dụng ngay, sẵn sàng vừa học vừa làm và xây dựng năng lực qua dự án hoặc sản phẩm cụ thể. Đại học vẫn là một lựa chọn, nhưng không còn được xem là con đường mặc định; quyết định học hay không thường phụ thuộc vào việc ngành học có giúp đạt được mục tiêu rõ ràng hay không. Đi làm sớm cũng được chấp nhận hơn, và việc đổi hướng hoặc đi đường vòng được xem là bình thường.","Often prioritizes flexible paths tied closely to immediately applicable skills, is willing to study and work at the same time, and builds capability through concrete projects or outputs. University remains an option but is no longer the default path, the decision depends on whether the field helps reach clear goals. Starting work early is more accepted, and changing direction or taking a non-linear path is seen as normal.",,,,,,Đi vào đại học,Go to University,6,money:-2@turns:6;experience:+5,Đi học nghề,Go to Trade School,12,money:-2@turns:4;experience:+3,Đi làm ngay,Start Working,16,money:+1@until:occupation_choice;experience:+2,"Original Description: Pick Education Route | Original Action: Pick 1: University, Trade School or Work | Original Next Space: Depends on choice (6 - University, 12 - Trade School or 16 - Work)"
6,stat,,7,Đi vào đại học,Studying Hard,"Bạn học hiệu quả nhất bằng cách nào (tự học, học nhóm, học thuộc, làm bài tập…)? Nói 1 mẹo của bạn.","How do you best study (Self-study? Group study? Homework? Memorisation?...) Share a study ""hack"".",Việc học gắn với kỷ luật và nền nếp; “học để nên người” thường được nhắc nhiều.,"Learning is linked to discipline and proper conduct, with the idea of “studying to become a decent person” often emphasized.","Tài liệu hạn chế; học dựa vào sách vở, ghi chép và chia sẻ trong lớp.","Study materials are limited, so learning relies on textbooks, note-taking, and sharing within the class.",Thi cử và bằng cấp trở thành cơ hội để vươn lên; cạnh tranh bắt đầu rõ hơn.,"Exams and degrees become key ways to move up, and competition becomes more visible.","Học gắn với internet: tra cứu nhanh, học online, nhiều tài nguyên nhưng dễ xao nhãng.","Learning is tied to the internet, fast searching, online study, abundant resources, but easy distraction.",,money:-4,money:-2,money:-3,money:-3,,,,,,,,,,,,,Original Description: University Space 1 | Original Action: Stat change
7,life_card,,8,"Làm hết sức, chơi hết mình","Work Hard, Play Hard",Kể về một kỷ niệm đi chơi thời sinh viên/học sinh của bạn.,Recall a memory during your school days.,"Ưu tiên là ổn định và an toàn; “vui” thường giản dị, ít phô trương.","The priority is stability and safety, and “fun” tends to be simple and not showy.","Niềm vui thường đến từ tụ tập, ăn uống đơn giản, sinh hoạt tập thể.","Joy often comes from gathering together, simple food, and collective activities.",Bắt đầu có văn hoá “hustle” và tiêu dùng; vui chơi đa dạng hơn.,"A hustle and consumer culture begins to emerge, and leisure becomes more varied.",Giải trí gắn với nội dung số; ranh giới nghỉ ngơi và lướt mạng dễ bị lẫn.,"Entertainment is tied to digital content, and the line between rest and scrolling easily gets mixed.",draw:life,happiness:+1,happiness:+1,happiness:+1,happiness:+1,,,,,,,,,,,,,Original Description: University Space 4 | Original Action: Stat change
8,stat,,9,Căng thẳng quá tải,Stressing Out,Điều gì làm bạn căng thẳng nhất thời đi học? Tại sao bạn bị áp lực về điều này?,What usually stresses you out the most in school? Why were you stressed about it?,Nhiều người quen “chịu đựng và tự lo”; ít khi nói thẳng về cảm xúc.,"Many are used to enduring and handling things on their own, and are less likely to speak openly about emotions.",Áp lực thường gắn với thiếu thốn và trách nhiệm; giải toả hay dựa vào gia đình/tập thể.,"Pressure is often linked to scarcity and responsibility, and coping tends to rely on family and the collective.",Áp lực tăng vì cạnh tranh và kỳ vọng “phải vươn lên”; dễ tự so sánh.,"Pressure rises due to competition and expectations to “move up,” making self-comparison more common.",Stress dễ đến từ nhịp sống nhanh và quá tải thông tin; ranh giới online/offline mờ.,"Stress often comes from a fast pace of life and information overload, with blurred online and offline boundaries.",,health:-4,health:-3,health:-2,health:-1,,,,,,,,,,,,,Original Description: University Space 3 | Original Action: Stat change
9,stat,,10,Học bổng,Scholarship,,,Cơ hội học hành hiếm và mong manh; nhiều người phải tạm dừng hoặc đổi hướng vì hoàn cảnh.,"Educational opportunities are rare and fragile, so many have to pause or change direction due to circumstances.","Học hành thường gắn với phân bổ/đơn vị; gánh nặng tiền mặt có thể khác, nhưng “được học/được đi” là then chốt.","Education is often tied to allocation and work units, cash burden may differ, but getting the chance to study and advance is what matters most.",Chi phí và cạnh tranh tăng; học bổng và làm thêm dần thành con đường quen thuộc để theo học.,"Costs and competition increase, scholarships and part-time work gradually become common ways to stay in school.","Học phí cao và nhiều lựa chọn; phổ biến chuyện vừa học vừa làm, săn học bổng, portfolio/dự án để đổi cơ hội.","Tuition is high and options are many, it is common to study and work at the same time, chase scholarships, and use portfolios or projects to unlock opportunities.",,money:+1,money:+2,money:+3,money:+2,,,,,,,,,,,,,Original Description: University Space 2 | Original Action: Draw a LIFE card
