card_id,theme,title_vi,title_en,description_vi,description_en,question_vi,question_en,effects_common,effects_war_time,effects_subsidy,effects_reform,effects_digital_native,option_1_label_vi,option_1_label_en,option_1_effects,option_2_label_vi,option_2_label_en,option_2_effects,notes
life_001,family,Sinh đôi!,Twins!,"Chị của bạn sinh đôi. Là người cô/chú tốt bụng, bạn phải hỗ trợ chăm sóc hai người cháu mới và mừng tuổi gấp đôi.","Your sister had twins! As a good aunt/uncle, you offer to help out and double up your financial support.",Lần cuối cùng gia đình bạn có thành viên mới là khi nào? Người đó là ai?,When was the last time your family had a new family member? Who was it?,money:-4;health:-2;happiness:+1,,,,,,,,,,,Example life card with a common effect only.
life_002,career,Cơ hội mới,New Opportunity,Bạn được giới thiệu một cơ hội cộng tác ngắn hạn ngoài công việc chính.,You are offered a short-term collaboration outside your main job.,Bạn thường quyết định nhanh hay chậm khi có cơ hội mới? Vì sao?,Do you decide quickly or slowly when a new opportunity appears? Why?,experience:+1;money:+2,,,,,,,,,,,Digital-native generation gets an extra happiness boost in this example.
life_003,family,Gia đình đi chơi!,Family Trip!,"Cả nhà bạn lên kế hoạch để đi chơi xa, nhưng mỗi người có một ý tưởng khác nhau và không thể thống nhất đi đâu.","Your family is planning a holiday, but everyone has a different idea and cannot agree on where to go.","Kể một chuyến đi chơi cùng gia đình bạn nhớ nhất, điều gì làm nó đặc biệt?","Tell a family trip or outing you remember most, what made it special?",happiness:+1;money:-2,,,,,,,,,,,
life_004,personal,Tăng giá nhà đột ngột,Sudden Rent Increase,Chủ nhà báo tăng giá hoặc thay đổi điều kiện thuê ngay trước kỳ thanh toán.,The landlord raises rent or changes terms right before payment is due.,"Bạn sẽ thương lượng, tìm chỗ mới, hay chấp nhận, và vì sao?","Would you negotiate, move, or accept, and why?",money:-3,,,,,,,,,,,
life_005,family,Mâu thuẫn bạn bè,Friends Argument,Bạn và bạn thân cãi nhau vì bất đồng ý kiến và đã không nói chuyện với nhau một tuần nay.,You and your best friend had an argument and you haven't spoken to each other in a week.,"Nếu là bạn, bạn sẽ cố gắng làm hoà với người khác như thế nào?","If it was you, how would you try to make up with your friend?",happiness:-2,,,,,,,,,,,
life_006,personal,Tiền tiết kiệm,Surprise Savings,Bạn nhận ra mình có một khoản tiết kiệm tới hạn và nhận được một số tiền lời kha khá!,You realised you had a savings account and received a nice sum for your efforts!,Bạn có một thói quen tiết kiệm chi tiêu trong nhà nào hiệu quả nhất?,What is one household saving habit that works best for you?,money:+3,,,,,,,,,,,
life_007,personal,Khủng hoảng cá nhân,Personal Crisis,"Sau khi nhận ra những người khác quanh bạn đều đang tiến triển tốt trong công việc trong khi bạn vẫn dặm chân tại chỗ, bạn cảm thấy bế tắc trong sự nghiệp.","After noticing everyone around you is making progress in their career while you're standing still in your job, you feel stuck in your life.","Điều gì dễ khiến bạn thấy chông chênh nhất, và bạn thường vượt qua bằng cách nào?","What most often makes you feel unsteady, and how do you usually get through it?",happiness:-3,,,,,,,,,,,
life_008,personal,Thời gian một mình,Lonely Time,Bạn bè của bạn huỷ kèo phút cuối và bạn phải huỷ kế hoạch cuối tuần của mình.,Your friends called to cancel last minute so your weekend plans are ruined.,"Khi ở một mình, bạn thường làm gì để thấy vui và bớt cô đơn, nêu một ví dụ cụ thể?","When you are alone, what do you do to feel entertained and less lonely, give one concrete example.",hobby_choice,,,,,,,,,,,
life_009,family,Những đứa trẻ hư,Naughty Kids,"Bạn có vài người cháu nhỏ tới thăm nhà nhưng chúng la hét và chạy nhảy mặc dù bạn đã nhắc nhở, và làm hư vỡ đồ vật trong nhà bạn.","Your nieces/nephews came to visit but despite your warnings, they keep screaming and running around your house, and ended up breaking your things.","Bạn nghĩ nguyên tắc nuôi dạy con quan trọng nhất là gì, nêu một ví dụ cụ thể?","What is your most important parenting principle, give one concrete example.",money:-3,,,,,,,,,,,
life_010,personal,Bị thương,Injured,Bạn bị tai nạn khi lái xe và té gãy chân!,You got into an accident while driving and broke your leg!,Bạn có bao giờ bị tai nạn khi lái xe chưa? Chuyện gì đã xảy ra?,Have you ever been in an accident? What happened?,health:-3,,,,,,,,,,,
life_011,career,Hóa đơn bất ngờ,Unexpected Bill,Một khoản phí không ngờ tới xuất hiện đúng lúc bạn đang eo hẹp.,An unexpected expense shows up when money is tight.,Chuyện này đã xảy ra với bạn giờ chưa? Bạn sẽ xoay xở như thế nào?,Has this ever happened to you? What would you do?,money:-4,,,,,,,,,,,
life_012,personal,Mất đồ quan trọng,Lost Something Important,"Bạn làm mất một món quan trọng như giấy tờ, chìa khóa, hoặc thẻ.","You lose something important like documents, keys, or a card.",Bạn có từng làm mất một món đồ quan trọng không?,Have you ever lost something important?,happiness:-2,,,,,,,,,,,
life_013,personal,Bị lừa qua tin nhắn,Text Scam Attempt,Bạn nhận tin nhắn lạ yêu cầu bấm link hoặc cung cấp mã xác nhận.,You receive a message asking you to click a link or share a verification code.,"Bạn làm gì ngay lập tức, và bạn sẽ cảnh báo ai?","What do you do immediately, and who would you warn?",money:-2,,,,,,,,,,,
life_014,personal,Được giúp một cách bất ngờ,Unexpected Help,Một người không quen biết hoặc không thân giúp bạn đúng lúc bạn đang khó khăn.,Someone unexpected helps you at a difficult moment.,"Bạn sẽ đáp lại thế nào, và bạn có “trả ơn” theo cách gì không?","How would you respond, and would you pay it forward in some way?",happiness:+1,,,,,,,,,,,
life_015,personal,Tin vui bất ngờ,Sudden Good News,"Bạn nhận một tin vui lớn hơn bạn nghĩ, đến đúng lúc tinh thần đang xuống.",You get unexpectedly good news when you were feeling low.,"Bạn sẽ chia sẻ với ai đầu tiên, và bạn ăn mừng theo cách nào?","Who would you tell first, and how would you celebrate?",happiness:+2,,,,,,,,,,,
life_016,personal,Bạn bè nhờ vay tiền,Friend Asks for Money,Một người thân quen nhờ bạn cho vay một khoản không nhỏ.,A friend asks to borrow a significant amount of money.,Bạn sẽ nói gì để vừa rõ ràng vừa không làm hỏng mối quan hệ?,What would you say to be clear without damaging the relationship?,happiness:-2,,,,,,,,,,,
life_017,career,Cơ hội học bổng,Scholarship Opportunity,Bạn thấy một học bổng hoặc khóa học đúng thứ bạn cần nhưng hạn nộp rất gấp.,"You find a scholarship or course that fits you, but the deadline is very soon.","Nếu được học miễn phí một kỹ năng mới, bạn sẽ học cái gì?","If you can study a new skill for free, what would you learn?",experience:+1,,,,,,,,,,,
life_018,personal,Sức khỏe báo động nhỏ,Health Wake-Up Call,Bạn có một dấu hiệu sức khỏe khiến bạn phải dừng lại và chú ý.,A small health sign forces you to pause and pay attention.,Bạn sẽ thay đổi một thói quen nào ngay trong tuần này?,What is one habit you would change starting this week?,health:-2,,,,,,,,,,,
